N,K,P,run,sampler,time,load_min_ess,load_mean_ess,load_med_ess,prec_min_ess,prec_mean_ess,prec_med_ess
1000.0,2.0,10.0,1.0,hmc,338.766,965.3502469312334,1555.1455442210495,1576.7744182650108,482.7854135487298,1476.5444275673676,1542.786621530377
1000.0,2.0,10.0,1.0,old,1327.963,14.138161921028747,115.64307152238985,53.862957938851345,73.71271155410443,1055.6981071147798,1093.4552627543421
50.0,4.0,10.0,1.0,ortho,89.224,1145.8114439031242,2926.467867352753,3088.0671166480975,1299.838141312667,2574.5561522918515,2467.9586690369006
50.0,4.0,10.0,1.0,gibbs,16.379,763.740250131867,1153.5520542337554,1164.0758630574928,341.0200172560496,955.2079343494082,1030.2345228328863
50.0,4.0,10.0,1.0,hmc,43.003,1063.1648803451144,1419.2280698034908,1397.9103192364723,512.2470179496819,1006.8224696232119,1019.9352171414046
50.0,4.0,10.0,1.0,old,8.259,112.24162118233893,433.91011971525114,409.1889831313546,107.14500094414132,363.3171272188162,306.18192374048806
100.0,4.0,10.0,1.0,ortho,168.614,450.51753087507547,1861.0816165078395,1794.060207995637,1459.0905980316961,3083.52876939083,2904.316271189002
100.0,4.0,10.0,1.0,gibbs,30.21,391.80665805314914,834.5275190291559,829.6747042684981,666.0380589805023,1122.8528259858415,1163.2156292352818
100.0,4.0,10.0,1.0,hmc,82.036,744.6077894862772,1330.2737802722334,1353.6010124368606,682.3948776061075,1042.0193197484589,1123.2078479742331
100.0,4.0,10.0,1.0,old,22.673,12.560534836451628,77.13614112686575,57.10252638528664,26.418541805179697,296.75226480942786,193.86587994895115
500.0,4.0,10.0,1.0,ortho,883.128,93.42665502627246,1095.922549029569,1117.372979197458,715.5810300862804,2864.9751934597816,3450.614339008145
500.0,4.0,10.0,1.0,gibbs,135.252,420.2285986001942,788.5001559824808,777.534735747266,717.4337216327855,1247.591411297235,1291.0749752270171
500.0,4.0,10.0,1.0,hmc,403.441,975.1456130169647,1562.0730608463123,1581.7698234267068,905.9745899927939,1347.3580352996003,1366.7019560578917
500.0,4.0,10.0,1.0,old,390.621,16.247989841463603,67.69364386268497,60.36819816536176,12.05219518501477,334.88264182159116,180.8145121438847
1000.0,4.0,10.0,1.0,ortho,1837.297,370.12483048341375,1159.9616203359242,1121.9035525122608,1671.6519354108011,3185.6262252989777,3185.799300383466
1000.0,4.0,10.0,1.0,gibbs,273.065,292.9557448984029,553.164762373752,493.252199607585,792.8749753624903,1291.731614395146,1371.2256565580383
1000.0,4.0,10.0,1.0,hmc,822.103,950.1552117618993,1421.4960107840534,1455.265819213243,868.28942932651,1249.791750810014,1223.447110230104
1000.0,4.0,10.0,1.0,old,1657.646,6.085112390518065,27.18750169755078,20.384567196445623,99.79395846300628,533.2160240640397,301.3427412096314
50.0,1.0,100.0,1.0,ortho,41.639,147.1743393213284,2011.4672595444374,1470.8980150799096,3301.75572301954,4018.4845171640254,4100.965933852593
