taxon,5-1_AdultBodyMass_g,3-1_AgeatFirstBirth_d,7-1_DispersalAge_d,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d
Cephalorhynchus_hectori,10.819778084410263,7.979338895262328,NaN,NaN,NaN,0.0,-0.8675005677047231,5.480638923341991,7.926071772397195,NaN,5.873947101179524
Ceratotherium_simum,14.642287626922874,7.80943985846693,6.805711479158545,6.280751580919966,6.874456993580623,0.0,NaN,6.396929655216146,7.91616200376385,NaN,5.8998973535824915
Cercartetus_caudatus,3.1376657694426577,6.142037405587356,NaN,NaN,5.209486152841421,0.8628899551470398,0.6931471805599453,3.648057459593681,6.139970755407206,1.3862943611198906,4.331259517620229
Cercartetus_concinnus,2.7700855920216627,6.017668212604618,NaN,3.9539324085053558,4.804021044733257,1.5260563034950492,0.0,NaN,NaN,1.791759469228055,3.911822985425479
Cercartetus_lepidus,2.0831845279586703,NaN,NaN,NaN,5.8998973535824915,1.2029723039923526,NaN,NaN,NaN,1.3862943611198906,4.4996985530458575
Cercartetus_nanus,3.2902658209548736,5.024406698180174,NaN,NaN,4.9362708788073935,1.3762440252663892,0.6931471805599453,4.564348191467836,5.266826699456666,1.3862943611198906,4.135166556742356
Cercocebus_agilis,8.868641299215255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cercocebus_atys,8.845235711892075,NaN,NaN,5.106430204884381,5.97685839471862,0.009950330853168092,NaN,5.773308537304811,7.186651367465754,NaN,NaN
Cercocebus_galeritus,8.864698623583227,7.771699530484083,NaN,5.161523515030043,NaN,0.009950330853168092,NaN,5.529429087511423,7.9142303486774175,NaN,NaN
Cercocebus_torquatus,8.894679861183063,7.441056425263297,NaN,5.129780364724699,6.073850660705929,0.009950330853168092,NaN,5.886104031450156,7.184523006068037,NaN,NaN
Cercopithecus_albogularis,NaN,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Cercopithecus_ascanius,8.171949800439902,7.509335266016592,NaN,5.000584958242754,7.36546489559689,0.009950330853168092,NaN,5.827768454437193,7.4493409249835425,NaN,4.987298428731818
Cercopithecus_campbelli,8.196362387296947,NaN,NaN,5.1973914479580765,NaN,0.01980262729617973,NaN,5.981414211254481,NaN,NaN,5.894209978203751
Cercopithecus_cephus,8.144644349749635,7.509335266016592,NaN,5.132911922130395,NaN,0.009950330853168092,NaN,5.62040086571715,7.327714833240754,NaN,5.894209978203751
Cercopithecus_denti,NaN,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Cercopithecus_diana,8.37997730508787,7.5816533790106195,NaN,NaN,5.8998973535824915,0.009950330853168092,NaN,6.10389997643777,7.731908791883463,NaN,5.894209978203751
Cercopithecus_dryas,7.931665572946213,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Cercopithecus_erythrogaster,8.144644349749635,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Cercopithecus_erythrotis,8.087941410230552,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Cercopithecus_lhoesti,8.576870541182727,NaN,NaN,NaN,6.185076295816154,0.0,NaN,5.2574953720277815,NaN,NaN,NaN
Cercopithecus_mitis,8.525417280696145,7.643866158974198,NaN,4.930075786237839,6.338152284513646,0.0,NaN,5.784440377673656,7.62522915153314,NaN,6.533905110243224
Cercopithecus_mona,8.289079810934124,NaN,NaN,NaN,NaN,0.0,NaN,5.886104031450156,NaN,NaN,NaN
Cercopithecus_neglectus,8.580077845669626,7.441056425263297,NaN,5.147901370765066,6.369900982828227,0.01980262729617973,NaN,5.75447558897172,7.638386087913736,NaN,6.034571928141916
Cercopithecus_nictitans,8.567298680642462,NaN,NaN,5.132911922130395,NaN,0.0,NaN,5.62040086571715,7.429277489736374,NaN,NaN
Cercopithecus_petaurista,8.081372994114208,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,5.429345628954441,NaN,NaN,NaN
Cercopithecus_pogonias,8.182634722373097,7.509335266016592,NaN,5.132911922130395,NaN,0.009950330853168092,NaN,5.66711849028461,7.429277489736374,NaN,NaN
Cercopithecus_preussi,8.543361787377775,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Cercopithecus_sclateri,8.028549714583896,NaN,NaN,NaN,NaN,0.01980262729617973,NaN,NaN,NaN,NaN,NaN
Cercopithecus_solatus,8.567298680642462,7.458041971629041,NaN,NaN,6.305362461690656,0.009950330853168092,NaN,NaN,NaN,NaN,NaN
